id,tweet
1491914764909486080,"@Betocvo Meu tio faleceu semana passada de sequelas da covid 19, teve doença 1º vez na época sem vacinas, sintomas leves, mas teve miocardite

Se vacinou 

Semana passada morreu de enfarto"
1491914760958455808,Esse pós COVID tá sendo pior que o COVID
1491914747385630728,"1
""A crise dos transportes coletivos, no Brasil, não foi criada pela pandemia de Covid-19, como volta e meia dão a entender os gestores municipais."""
1491914744676167681,"esse covid filho da puta já me tirou 2 oportunidades de entrar na faculdade, n vai ter a terceira q ÓDIO"
1491914721657864192,"Ces já tomaram a 3 dose da vacina da covid? Eu já! Não senti reações, mas fiquei com o local da aplicação doendo. Quer dizer, não tava doendo, aí eu fui apertar pra ver se iria doer e depois ficou doendo. Kkkkk"
1491914711000100867,"@marciatiburi Governo bom foi aquele que ao invés de hospitais, Super faturou em estádios de futebol; morreram mais pessoas na fila do SUS, duque de covid, pois 80% das mortes atribuída ao covid, não foi covid. Meu vizinho infartou, levaram ele para o hospital, morreu e óbito veio covid."
1491914702863097863,último dia de ferias e resolvi ficar zuada kkkk n sei se é covid ou insolação
1491914678104121345,"Primer salida post COVID
4k de bici.
3k corriendo.
5.8k de bici.
🚴‍♂️🏃🚴‍♂️
#YoElegíCorrer https://t.co/DKTioux4Be"
1491914668411166722,"Fiquei sabendo que o pastor da igreja que eu ia não tomou nenhuma dose da vacina e pegou covid, aiai. https://t.co/jIKhs3vAkw"
1491914655891177478,"suquinhos detox ok, novas vitaminas e novo plano alimentar mas o covid fez um rombo nos nutrientes e peso q te falar viu"
1491914643643711488,Cara esse pós covid é uma merdaaaa eu vou ter q ficar 15 FUCKING DIAS SEM ATIVIDADE FISICA EU VOU MATAR O BOLSONARO VO VIRA O CORINGA CARA QUE ÓDIOOOOOOOOO https://t.co/TgJ7rOPuRk
1491914614417854465,"Comunicado Técnico Diario #COVID19 | 10 de febrero de 2022

➡️ https://t.co/pgZ6bf1Ot9 https://t.co/uS7AkCkOpl"
1491914602988421137,"Eu estou muito triste, com covid e sem poder fazer coisas que eu gosto como por ex; passar a tarde com o pessoal na emlresa 😪😪 
10 dias gente e nao é nem o 5 ainda"
1491914594327183364,"UOL: Brasil tem 922 mortes pela covid em 24 h, e média fica 7 dias acima de 700

Valor: Com devolução de concessão, Galeão e Santos Dumont devem ser licitados juntos"
1491914593840549890,@safodosertao os dois evebtos mudaram de data aí agora eu posso ir pros dois sependendo da situação da covid
1491914585317822471,"Guys, meu teste do covid deu positivo:/"
1491914577138831362,Príncipe Charles testa positivo para covid-19 pela segunda vez https://t.co/wPPq5sv9Wy
1491914552539332620,"O Amazonas registrou nesta quinta-feira, 10, 2.663 novos casos de Covid-19 e 7 mortes ocorridas em Manaus (5), Amaturá (1) e Nhamundá (1). As informações são da Vigilância em Saúde do Amazonas.

Com aatualização, o Estado acumula, desde o início da

https://t.co/DYieIes0mq"
1491914551079616512,"G1: Tribunal Penal Internacional recebe denúncia da CPI contra Bolsonaro por crime contra a humanidade.
https://t.co/MyJdPS04cd

via @GoogleNews"
1491914545316737026,@noytless Vai me passar covid como hein vai me beijar
1491914524269678599,"Covid: Brasil tem 922 mortes em 24h e média completa 7 dias acima de 700 https://t.co/cYHbeUhCYX 
 Nove estados estão com ocupação acima de 80% em leitos de UTI."
1491914512102051843,"Covid-19 projeta um futuro de incertezas
Especialista afirma que é 100% certo que as pandemias farão parte do nosso futuro. As incertezas são: quando, com que frequência e com que gravidade.”
https://t.co/msQqforXWg https://t.co/3ZN52LO8Zp"
1491914494716432387,ter covid para o meu irmão me vir trazer torradas🥺
1491914484377657345,"@brasil247 COMO EXPLICAR?

O tratamento de ""normalidade"",  dado pela imprensa,  governos e forças políticas, com mais de 80% dos leitos Covid ocupados, na maioria dos estados e 1300 mortes por dia?
As próprias estatísticas vêm sendo divulgadas como a cotação do dólar e a temperatura! Af!"
1491914483186479107,"Após redução de indicadores da Covid, Valinhos confirma retorno das aulas presenciais na rede municipal na segunda https://t.co/Mrhk1D1wL8"
1491914478182711325,botaram nós de home office por causa de covid&gt; o escritório entrou em reforma&gt; mandaram a gente voltar e vamos pra um andar apertado e cheio QUAL O NEXO?????
1491914451691491328,"@Sbaglio_ É um cara que já morava aqui e tals
Daí ele pegou covid, não avisou ninguém e andava pela casa sem máscara, usando as áreas de uso comum como cozinha e banheiro
Acho que peguei em algum desse locais, certeza"
1491914421572194304,Me chamaram pra sair e eu to de covid que odio
1491914385094291459,"principe charles testou positivo pra covid-19 pela segunda vez, que pena ne"
1491914362122084353,@jdoriajr FUNCIONÁRIOS DE DROGARIA ONDE FAZ YESTE COVID TAMBÉM VAI TER AUMENTO
1491914346452111363,certeza que a mulher que fez o meu teste de covid hj consertou meu desvio de septo na marra
1491914290282086401,"@mooorena_dessa No começo da minha gravidez eles falaram que eu não podia ir p escola por causa do covid por ser perigoso, só ficar fazendo trabalho em casa.."
1491914288637882368,"É, acho que dessa vez eu não me escapo do covid"
1491914238822129666,vai pro cu essa bosta de COVID
1491914234304806918,"@revistaoeste Representação no CNJ e na delegacia por crime de abuso de autoridade. 

CF, art. 5o, II - II – ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em virtude de lei. 

NÃO há lei que torne vacina contra covid obrigatória."
1491914231951904769,@vkkkeu mas eu prometo que assim que eu fizer o teste do covid e ele der negativo eu vou visitar vcs!!!!!
1491914224179814405,"Brasil enfrenta um aumento de casos de covid-19 impulsionado pela variante Ômicron. E muitas pessoas foram infectadas perto da data de tomar a dose de reforço. Por isso, a dúvida: quanto tempo esperar para se vacinar? Saiba no #JornalDaRecord https://t.co/Am4gLCD6We #JR24H https://t.co/cDj1Bkd5YA"
1491914199924191236,"Tenha tias melhores que essa bah, nao vai fazer o aniver da bela pq a familia araujo ta quase todos com COVID"
1491914198674255873,se eu n pegar covid esse ano vai ser um milagre mesmo
1491914190486974465,"Comunicação sincronizada:

(   ) Fake news disseminada no Zap;
(   ) Facção comemorando aniversário;
(   ) Algoritmo dominando os ad's depois da busca;
(   ) Governo Federal flertando com ""Kit Covid"" após 2 anos de pandemia;
(   ) Redes do Zuckerberg saindo do ar."
1491914180370345985,@taminebb Falta de paladar é sintoma de covid... Kkkk
1491914169918148612,@cylisun com covid e acabada coitada
1491914163261739013,"Segregação: Colégio Pedro II, na Tijuca, no Rio de Janeiro-RJ barrou uma menina de entrar, visto que ela não tem o passaporte da vacina contra a Covid-19. https://t.co/cOmvlQ3Cqc"
1491914154080448514,fiz teste de covid e deu negativo mas to com muito sintoma puta que pariu que merda
1491914114377170954,Conass:  Brasil  registra 943 mortes e 164.066 casos de covid-19 em 24h - ISTOÉ Independente https://t.co/PU1RLM4iam
1491914100015874060,"Baixa procura por dose reforço da Covid-19 preocupa gestores da saúde em Goiás.

Leia matéria completa no site https://t.co/GGMwVcT24T"
1491914081917448192,Dados do Ministério da Saúde apontam que quase 20 milhões de pessoas não completaram o esquema vacinal contra a covid-19. Confira mais notícias sobre a imunização contra o coronavírus no #JornalDaRecord https://t.co/Am4gLCD6We #JR24H https://t.co/EYfUU32fbg
